0x137a	0x1375
0x13ee	0x13ea
0x1445	0x1441
0x17f2	0x17a2
0x1890	0x1840
0x192e	0x18de
0x1a82	0x1a32
0x1b20	0x1ad0
0x1bbe	0x1b6e
0x1f65	0x1f15
0x2003	0x1fb3
0x20a1	0x2051
0x220d	0x21bd
0x22ab	0x225b
0x2349	0x22f9
0x2b8d	0x2b88
0x2c01	0x2bfd
0x2c58	0x2c54
0x2fd4	0x2fcf
0x3048	0x3044
0x30b5	0x3066
0x31d4V0x241c	0x30f5V0x241c
